query_id,rank,recommended_place_name,recommended_district,recommended_place_type,candidate_source,baseline_score,raw_rank,district_match_score,place_type_score,time_context_score,voter_target_score,floating_population_score,worker_population_score,transit_access_score,market_commercial_score,welfare_policy_score,campaign_context_score,candidate_style_score,novelty_diversity_score,rank_score,semantic_similarity,composite_similarity,final_score,score,exact_place_hit,explanation
2026-03-12_17:25_강서구,2,강서구청먹자골목 골목형상점가,강서구,market,market,0.4867,2,1.0,1.0,0.85,0.9,0.695185,0.4,0.25,1.0,0.0,0.791667,0.155865,0.02,0.989899,0.295918,0.865842,1.493996,1.493996,False,"이 장소는 강서구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-12_17:25_강서구,3,까치산시장,강서구,market,market,0.4792,3,1.0,1.0,0.85,0.9,0.69106,0.4,0.25,1.0,0.0,0.791667,0.155865,0.02,0.979798,0.295918,0.865842,1.485987,1.485987,False,"이 장소는 강서구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-12_17:25_강서구,4,가양역사거리 골목형상점가,강서구,market,market,0.4788,4,1.0,1.0,0.85,0.9,0.69084,0.4,0.65,1.0,0.0,0.791667,0.155865,0.02,0.969697,0.295918,0.865842,1.485273,1.485273,False,"이 장소는 강서구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-12_17:25_강서구,5,남부골목시장,강서구,market,market,0.4786,5,1.0,1.0,0.85,0.9,0.69073,0.4,0.25,1.0,0.0,0.791667,0.155865,0.02,0.959596,0.295918,0.865842,1.484764,1.484764,True,"이 장소는 강서구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-12_17:25_강서구,6,송화벽화시장,강서구,market,market,0.4759,6,1.0,1.0,0.85,0.9,0.689245,0.4,0.25,1.0,0.0,0.791667,0.155865,0.02,0.949495,0.295918,0.865842,1.481687,1.481687,False,"이 장소는 강서구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-12_17:25_강서구,7,송정역 카페거리 골목형상점가,강서구,market,market,0.4716,7,1.0,1.0,0.85,0.9,0.68688,0.4,0.65,1.0,0.0,0.791667,0.155865,0.02,0.939394,0.295918,0.865842,1.476965,1.476965,False,"이 장소는 강서구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-12_17:25_강서구,8,공항대로 골목형상점가,강서구,market,market,0.471,8,1.0,1.0,0.85,0.9,0.68655,0.4,0.25,1.0,0.0,0.791667,0.155865,0.02,0.929293,0.295918,0.865842,1.476046,1.476046,False,"이 장소는 강서구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-12_17:25_강서구,9,방신전통시장,강서구,market,market,0.4709,9,1.0,1.0,0.85,0.9,0.686495,0.4,0.25,1.0,0.0,0.791667,0.155865,0.02,0.919192,0.295918,0.865842,1.47564,1.47564,False,"이 장소는 강서구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-12_17:25_강서구,10,화곡중앙시장,강서구,market,market,0.4701,10,1.0,1.0,0.85,0.9,0.686055,0.4,0.25,1.0,0.0,0.791667,0.155865,0.02,0.909091,0.295918,0.865842,1.474515,1.474515,False,"이 장소는 강서구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-13_14:10_노원구,1,공릉동도깨비시장,노원구,market,market,0.4746,9,1.0,1.0,0.8,0.9,0.63853,0.1,0.25,1.0,0.0,0.791667,0.194436,0.02,0.919192,0.335953,0.862345,1.462156,1.462156,False,"이 장소는 노원구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
