query_id,rank,recommended_place_name,recommended_district,recommended_place_type,baseline_score,district_bonus,place_type_bonus,time_bonus,context_bonus,target_bonus,score
2026-03-10_17:40_중구,1,남대문시장,중구,market,0.7056,0.18,0.0,0.0,0.0,0.0,0.8856
2026-03-10_17:40_중구,2,평화시장,중구,market,0.5528,0.18,0.0,0.0,0.0,0.0,0.7328
2026-03-10_17:40_중구,3,삼익패션타운,중구,market,0.5222,0.18,0.0,0.0,0.0,0.0,0.7022
2026-03-10_17:40_중구,4,동평화시장,중구,market,0.5126,0.18,0.0,0.0,0.0,0.0,0.6926
2026-03-10_17:40_중구,5,청평화시장,중구,market,0.5024,0.18,0.0,0.0,0.0,0.0,0.6824
2026-03-10_17:40_중구,6,신평화패션타운,중구,market,0.4993,0.18,0.0,0.0,0.0,0.0,0.6793
2026-03-10_17:40_중구,7,방산시장,중구,market,0.4988,0.18,0.0,0.0,0.0,0.0,0.6788
2026-03-10_17:40_중구,8,광희패션몰,중구,market,0.4973,0.18,0.0,0.0,0.0,0.0,0.6773
2026-03-10_17:40_중구,9,통일상가,중구,market,0.4936,0.18,0.0,0.0,0.0,0.0,0.6736
2026-03-10_17:40_중구,10,중부시장,중구,market,0.4895,0.18,0.0,0.0,0.0,0.0,0.6695
2026-03-11_15:10_영등포구,1,영등포유통상가,영등포구,market,0.5381,0.18,0.0,0.0,0.0,0.0,0.7181
2026-03-11_15:10_영등포구,2,남대문시장,중구,market,0.7056,0.0,0.0,0.0,0.0,0.0,0.7056
2026-03-11_15:10_영등포구,3,영등포시장기계공구상가,영등포구,market,0.4939,0.18,0.0,0.0,0.0,0.0,0.6739
2026-03-11_15:10_영등포구,4,영등포청과시장,영등포구,market,0.478,0.18,0.0,0.0,0.0,0.0,0.658
2026-03-11_15:10_영등포구,5,영등포전통시장,영등포구,market,0.4708,0.18,0.0,0.0,0.0,0.0,0.6508
2026-03-11_15:10_영등포구,6,대림중앙시장,영등포구,market,0.4696,0.18,0.0,0.0,0.0,0.0,0.6496
2026-03-11_15:10_영등포구,7,우리시장,영등포구,market,0.4695,0.18,0.0,0.0,0.0,0.0,0.6495
2026-03-11_15:10_영등포구,8,선유로운골목형상점가,영등포구,market,0.4686,0.18,0.0,0.0,0.0,0.0,0.6486
2026-03-11_15:10_영등포구,9,동대문종합시장,종로구,market,0.6301,0.0,0.0,0.0,0.0,0.0,0.6301
2026-03-11_15:10_영등포구,10,장안 마실 골목형상점가,동대문구,market,0.6299,0.0,0.0,0.0,0.0,0.0,0.6299
2026-03-11_16:20_영등포구,1,영등포유통상가,영등포구,market,0.5381,0.18,0.0,0.0,0.0,0.0,0.7181
2026-03-11_16:20_영등포구,2,남대문시장,중구,market,0.7056,0.0,0.0,0.0,0.0,0.0,0.7056
2026-03-11_16:20_영등포구,3,영등포시장기계공구상가,영등포구,market,0.4939,0.18,0.0,0.0,0.0,0.0,0.6739
2026-03-11_16:20_영등포구,4,영등포청과시장,영등포구,market,0.478,0.18,0.0,0.0,0.0,0.0,0.658
2026-03-11_16:20_영등포구,5,영등포전통시장,영등포구,market,0.4708,0.18,0.0,0.0,0.0,0.0,0.6508
2026-03-11_16:20_영등포구,6,대림중앙시장,영등포구,market,0.4696,0.18,0.0,0.0,0.0,0.0,0.6496
2026-03-11_16:20_영등포구,7,우리시장,영등포구,market,0.4695,0.18,0.0,0.0,0.0,0.0,0.6495
2026-03-11_16:20_영등포구,8,선유로운골목형상점가,영등포구,market,0.4686,0.18,0.0,0.0,0.0,0.0,0.6486
2026-03-11_16:20_영등포구,9,동대문종합시장,종로구,market,0.6301,0.0,0.0,0.0,0.0,0.0,0.6301
2026-03-11_16:20_영등포구,10,장안 마실 골목형상점가,동대문구,market,0.6299,0.0,0.0,0.0,0.0,0.0,0.6299
2026-03-12_16:00_강서구,1,공항동 먹자골목 골목형상점가,강서구,market,0.494,0.18,0.0,0.0,0.0,0.0,0.674
2026-03-12_16:00_강서구,2,강서구청먹자골목 골목형상점가,강서구,market,0.4867,0.18,0.0,0.0,0.0,0.0,0.6667
2026-03-12_16:00_강서구,3,까치산시장,강서구,market,0.4792,0.18,0.0,0.0,0.0,0.0,0.6592
