query_id,rank,recommended_place_name,recommended_district,recommended_place_type,baseline_score,district_bonus,place_type_bonus,time_bonus,context_bonus,target_bonus,score
2026-03-10_17:40_중구,1,남대문시장,중구,market,0.7056,0.0,0.0,0.12,0.0,0.0,0.8256
2026-03-10_17:40_중구,2,평화시장,중구,market,0.5528,0.0,0.0,0.12,0.0,0.0,0.6728
2026-03-10_17:40_중구,3,삼익패션타운,중구,market,0.5222,0.0,0.0,0.12,0.0,0.0,0.6422
2026-03-10_17:40_중구,4,동평화시장,중구,market,0.5126,0.0,0.0,0.12,0.0,0.0,0.6326
2026-03-10_17:40_중구,5,청평화시장,중구,market,0.5024,0.0,0.0,0.12,0.0,0.0,0.6224
2026-03-10_17:40_중구,6,신평화패션타운,중구,market,0.4993,0.0,0.0,0.12,0.0,0.0,0.6193
2026-03-10_17:40_중구,7,방산시장,중구,market,0.4988,0.0,0.0,0.12,0.0,0.0,0.6188
2026-03-10_17:40_중구,8,광희패션몰,중구,market,0.4973,0.0,0.0,0.12,0.0,0.0,0.6173
2026-03-10_17:40_중구,9,통일상가,중구,market,0.4936,0.0,0.0,0.12,0.0,0.0,0.6136
2026-03-10_17:40_중구,10,중부시장,중구,market,0.4895,0.0,0.0,0.12,0.0,0.0,0.6095
2026-03-11_15:10_영등포구,1,남대문시장,중구,market,0.7056,0.0,0.0,0.12,0.0,0.0,0.8256
2026-03-11_15:10_영등포구,2,동대문종합시장,종로구,market,0.6301,0.0,0.0,0.12,0.0,0.0,0.7501
2026-03-11_15:10_영등포구,3,장안 마실 골목형상점가,동대문구,market,0.6299,0.0,0.0,0.12,0.0,0.0,0.7499
2026-03-11_15:10_영등포구,4,영등포유통상가,영등포구,market,0.5381,0.0,0.0,0.12,0.0,0.0,0.6581
2026-03-11_15:10_영등포구,5,영등포시장기계공구상가,영등포구,market,0.4939,0.0,0.0,0.12,0.0,0.0,0.6139
2026-03-11_15:10_영등포구,6,영등포청과시장,영등포구,market,0.478,0.0,0.0,0.12,0.0,0.0,0.598
2026-03-11_15:10_영등포구,7,영등포전통시장,영등포구,market,0.4708,0.0,0.0,0.12,0.0,0.0,0.5908
2026-03-11_15:10_영등포구,8,대림중앙시장,영등포구,market,0.4696,0.0,0.0,0.12,0.0,0.0,0.5896
2026-03-11_15:10_영등포구,9,우리시장,영등포구,market,0.4695,0.0,0.0,0.12,0.0,0.0,0.5895
2026-03-11_15:10_영등포구,10,선유로운골목형상점가,영등포구,market,0.4686,0.0,0.0,0.12,0.0,0.0,0.5886
2026-03-11_16:20_영등포구,1,남대문시장,중구,market,0.7056,0.0,0.0,0.12,0.0,0.0,0.8256
2026-03-11_16:20_영등포구,2,동대문종합시장,종로구,market,0.6301,0.0,0.0,0.12,0.0,0.0,0.7501
2026-03-11_16:20_영등포구,3,장안 마실 골목형상점가,동대문구,market,0.6299,0.0,0.0,0.12,0.0,0.0,0.7499
2026-03-11_16:20_영등포구,4,영등포유통상가,영등포구,market,0.5381,0.0,0.0,0.12,0.0,0.0,0.6581
2026-03-11_16:20_영등포구,5,영등포시장기계공구상가,영등포구,market,0.4939,0.0,0.0,0.12,0.0,0.0,0.6139
2026-03-11_16:20_영등포구,6,영등포청과시장,영등포구,market,0.478,0.0,0.0,0.12,0.0,0.0,0.598
2026-03-11_16:20_영등포구,7,영등포전통시장,영등포구,market,0.4708,0.0,0.0,0.12,0.0,0.0,0.5908
2026-03-11_16:20_영등포구,8,대림중앙시장,영등포구,market,0.4696,0.0,0.0,0.12,0.0,0.0,0.5896
2026-03-11_16:20_영등포구,9,우리시장,영등포구,market,0.4695,0.0,0.0,0.12,0.0,0.0,0.5895
2026-03-11_16:20_영등포구,10,선유로운골목형상점가,영등포구,market,0.4686,0.0,0.0,0.12,0.0,0.0,0.5886
2026-03-12_16:00_강서구,1,공항동 먹자골목 골목형상점가,강서구,market,0.494,0.0,0.0,0.12,0.0,0.0,0.614
2026-03-12_16:00_강서구,2,강서구청먹자골목 골목형상점가,강서구,market,0.4867,0.0,0.0,0.12,0.0,0.0,0.6067
2026-03-12_16:00_강서구,3,까치산시장,강서구,market,0.4792,0.0,0.0,0.12,0.0,0.0,0.5992
2026-03-12_16:00_강서구,4,가양역사거리 골목형상점가,강서구,market,0.4788,0.0,0.0,0.12,0.0,0.0,0.5988
2026-03-12_16:00_강서구,5,남부골목시장,강서구,market,0.4786,0.0,0.0,0.12,0.0,0.0,0.5986
2026-03-12_16:00_강서구,6,송화벽화시장,강서구,market,0.4759,0.0,0.0,0.12,0.0,0.0,0.5959
2026-03-12_16:00_강서구,7,송정역 카페거리 골목형상점가,강서구,market,0.4716,0.0,0.0,0.12,0.0,0.0,0.5916
2026-03-12_16:00_강서구,8,공항대로 골목형상점가,강서구,market,0.471,0.0,0.0,0.12,0.0,0.0,0.591
2026-03-12_16:00_강서구,9,방신전통시장,강서구,market,0.4709,0.0,0.0,0.12,0.0,0.0,0.5909
2026-03-12_16:00_강서구,10,화곡중앙시장,강서구,market,0.4701,0.0,0.0,0.12,0.0,0.0,0.5901
2026-03-12_17:25_강서구,1,공항동 먹자골목 골목형상점가,강서구,market,0.494,0.0,0.0,0.12,0.0,0.0,0.614
2026-03-12_17:25_강서구,2,강서구청먹자골목 골목형상점가,강서구,market,0.4867,0.0,0.0,0.12,0.0,0.0,0.6067
2026-03-12_17:25_강서구,3,까치산시장,강서구,market,0.4792,0.0,0.0,0.12,0.0,0.0,0.5992
2026-03-12_17:25_강서구,4,가양역사거리 골목형상점가,강서구,market,0.4788,0.0,0.0,0.12,0.0,0.0,0.5988
2026-03-12_17:25_강서구,5,남부골목시장,강서구,market,0.4786,0.0,0.0,0.12,0.0,0.0,0.5986
2026-03-12_17:25_강서구,6,송화벽화시장,강서구,market,0.4759,0.0,0.0,0.12,0.0,0.0,0.5959
2026-03-12_17:25_강서구,7,송정역 카페거리 골목형상점가,강서구,market,0.4716,0.0,0.0,0.12,0.0,0.0,0.5916
2026-03-12_17:25_강서구,8,공항대로 골목형상점가,강서구,market,0.471,0.0,0.0,0.12,0.0,0.0,0.591
